Image Index,Method,Jaccard Index (IoU),F1 Score,Pixel Accuracy
3,LRP + saliency + rollout (multiply),0.11738792433272868,0.0009574707553979264,0.0004789646750335698
3,LRP + saliency + CAM (sqrt),0.5443328795098706,0.0044986852755787565,0.0022545526314862
3,LRP + saliency + CAM (multiply),0.15338953888506537,0.0012559876021414483,0.0006283988341316078
3,LRP + rollout + CAM (sqrt),0.6031865891414332,0.00561147359488364,0.0028152831671583193
3,LRP + rollout + CAM (multiply),0.08683018545423468,0.0007158685366618402,0.0003580780793481287
3,saliency + rollout + CAM (sqrt),0.643646408839779,0.006054481200979842,0.0030383770886419467
3,saliency + rollout + CAM (multiply),0.1783816218069604,0.0014657303647773936,0.0007334256723656062
4,LRP + saliency + rollout (sqrt),0.21823955221872393,0.0017342541060764757,0.0008678850017058061
4,LRP + saliency + rollout (multiply),0.07727137967280275,0.0006134311028825806,0.0003068096547337295
4,LRP + saliency + CAM (sqrt),0.11013298874710602,0.0008752028359053514,0.00043779501134136285
4,LRP + saliency + CAM (multiply),0.02177721478047597,0.00017291996331015035,8.646745762987561e-05
4,LRP + rollout + CAM (sqrt),0.12193386905546041,0.0009899427125200373,0.000495261626127555
4,LRP + rollout + CAM (multiply),0.062256913709396206,0.0004966270124654236,0.0002483799123254224
4,saliency + rollout + CAM (sqrt),0.19505707349826973,0.0016149710575291477,0.0008082781033149141
4,saliency + rollout + CAM (multiply),0.06923682140047208,0.0005648132270700003,0.00028251743582038567
5,LRP + saliency + rollout (sqrt),0.34571196472090054,0.0029307025110680176,0.0014678340357158167
5,LRP + saliency + rollout (multiply),0.032948259030263584,0.00026603234920522835,0.00013303631743647885
5,LRP + saliency + CAM (sqrt),0.6257062146892656,0.0052241190645787,0.002619337272193784
5,LRP + saliency + CAM (multiply),0.11829834517242747,0.000978617005054437,0.0004896064966396833
5,LRP + rollout + CAM (sqrt),0.6340122982321291,0.005402999504798736,0.002709506331789619
5,LRP + rollout + CAM (multiply),0.005294375223916245,4.368285915808679e-05,2.1844234838335416e-05
5,saliency + rollout + CAM (sqrt),0.6159858993026286,0.005265411835221694,0.0026403602951960915
5,saliency + rollout + CAM (multiply),0.00566414040686079,4.663916379263768e-05,2.3322416143185183e-05
6,LRP + saliency + rollout (sqrt),0.17952314165497896,0.001703260146373919,0.0008529085036691248
6,LRP + saliency + rollout (multiply),0.11737690911032789,0.0010452292276145949,0.0005230727932658305
6,LRP + saliency + CAM (sqrt),0.14775780119859475,0.0013596167211939526,0.0006806133706734645
6,LRP + saliency + CAM (multiply),0.09324655926597675,0.0008313227972204903,0.0004159832769011245
6,LRP + rollout + CAM (sqrt),0.1736793135531893,0.0015971259338552195,0.0007996017221898045
6,LRP + rollout + CAM (multiply),0.11431045680883307,0.0010044133313042154,0.00050260679680502
6,saliency + rollout + CAM (sqrt),0.4811707680835198,0.004896799151550337,0.0024568714821093874
6,saliency + rollout + CAM (multiply),0.17130416312659302,0.001533667228440827,0.0007677128439834254
7,LRP + saliency + rollout (sqrt),0.17438951756998214,0.001443607124556145,0.0007224126212985399
7,LRP + saliency + rollout (multiply),0.10119699736254818,0.0008200818108879506,0.0004102224675588704
7,LRP + saliency + CAM (sqrt),0.11431710890444408,0.0009236239597722144,0.00046203484818479025
7,LRP + saliency + CAM (multiply),0.0743232224396608,0.0005995199893710992,0.0002998538726382601
7,LRP + rollout + CAM (sqrt),0.12191063674363865,0.0009876988097308717,0.0004941091790484549
7,LRP + rollout + CAM (multiply),0.07583265637692932,0.0006139762972921244,0.000307091157551087
7,saliency + rollout + CAM (sqrt),0.3375798738094281,0.0027593166355258077,0.0013816634833578633
7,saliency + rollout + CAM (multiply),0.1154895176063505,0.0009328273859970345,0.00046664039312931647
8,LRP + saliency + rollout (sqrt),0.07372669017051375,0.0005821137539561851,0.0002911416157475304
8,LRP + saliency + rollout (multiply),0.03957959156522318,0.00031254530593720516,0.0001562970779276216
8,LRP + saliency + CAM (sqrt),0.09560043354199385,0.0007565870292589289,0.00037844031977769213
8,LRP + saliency + CAM (multiply),0.032129315505887046,0.0002537207118047895,0.00012687645149418692
8,LRP + rollout + CAM (sqrt),0.11990008326394672,0.000957767729073554,0.00047913591620165003
